x1 x2 x3 x4 x5 y1 y2
2.5 1.5 1.66 6 10 116 24.2

2.5 3 1.66 6 10 112 33.4

2.5 4.5 1.66 6 10 109.6 39.2

2.5 4.5 1.28 6 10 101.4 36.48

2.5 4.5 1.66 6 10 109.6 39.2

2.5 4.5 2.04 6 10 116.1 40.93

1 4.5 2.04 6 10 129.3 47.74

2.5 4.5 2.04 6 10 116.1 40.93

4 4.5 2.04 6 10 107.5 31.31

2.5 1.5 1.28 5 5 82.8 22.8

2.5 1.5 1.28 5 10 100.5 23

2.5 1.5 1.28 5 15 110.577 23.1

2.5 1.5 1.28 5 20 117.4 23.2

2.5 1.5 1.28 4 20 122.43 23.1

2.5 1.5 1.28 5 20 117.4 23.1

2.5 1.5 1.28 6 20 113.3 23.1

2.5 1.5 1.28 7 20 109.9 23.1

2.5 1.5 1.28 8 20 106.97 23.1

2.5 1.5 1.28 9 20 104 23.1

2.5 1.5 1.28 10 20 102.2 23.1
